component,name,max,average,percentile_50.0,percentile_75.0,percentile_80.0,percentile_85.0,percentile_90.0,percentile_95.0,percentile_99.0,percentile_99.9,capacity,instance_cnt,plan_max,plan_average,plan_percentile_50.0,plan_percentile_75.0,plan_percentile_80.0,plan_percentile_85.0,plan_percentile_90.0,plan_percentile_95.0,plan_percentile_99.0,plan_percentile_99.9
tidb,CPU(core),23.784666666636863,6.891452040305764,6.4966666666169965,10.47533333338797,11.068000000038495,11.763333333283663,12.577333333343267,13.587733333359147,15.136666666684672,16.846442666622035,32,64,190.2773333330949,55.13161632244611,51.97333333293597,83.80266666710376,88.54400000030796,94.1066666662693,100.61866666674614,108.70186666687317,121.09333333347737,134.77154133297628
tidb,Memory(byte),26741944320.0,16920691356.352173,17130733568.0,17670386688.0,17807736012.8,17977865420.8,18201889587.2,18560214425.6,19336546385.92,20367362531.32808,66206752768,64,103.40240926645895,65.4268153341575,66.23898031633485,68.32564357867768,68.85672878794647,69.5145639275223,70.38079258548662,71.766318302959,74.76814173535634,78.75397282042981
tikv,CPU(core),22.808333333333334,8.052314804191548,8.275,11.416666666666666,11.866666666666667,12.341666666666667,12.866666666666667,13.608333333333333,14.95,16.51653333333355,32,60,171.0625,60.39236103143661,62.0625,85.625,89.0,92.5625,96.5,102.0625,112.125,123.87400000000162
tikv,Memory(byte),64757587968.0,57881447840.94151,63778476032.0,64016157696.0,64063688704.0,64117889433.6,64183327129.6,64278327705.6,64428602900.48,64577265741.824005,132135682048,60,117.62016793218831,105.13093258775989,115.84179239427237,116.27349712743657,116.35982840255616,116.45827399198653,116.57712945022902,116.74968040608452,117.02262747240458,117.29264599707227
tikv,Storage(byte),535961378515.0,361504338289.31384,442307236902.0,470968634179.0,482489093109.0,492801961876.0,502209251350.0,512172191227.0,523254653903.0,529922350440.00024,2113559478272,60,60.859763903481756,41.04972776085263,50.22510033323925,53.47967415394095,54.78785127013951,55.95890348301766,57.027124887227146,58.15844179364083,59.4168833324683,60.174017061294514
pd,CPU(core),17.123333333308498,2.6657532407407603,0.15333333333255722,6.595666666639348,6.871333333353202,7.055533333343143,7.275400000053148,10.008633333342152,15.028153333337379,16.661665333331644,32,3,6.421249999990687,0.9996574652777851,0.05749999999970896,2.4733749999897556,2.5767500000074506,2.6458250000036787,2.7282750000199307,3.7532375000033067,5.635557500001517,6.248124499999367
pd,Memory(byte),2833547264.0,1643391174.162963,1124302848.0,2654711808.0,2679431168.0,2727464960.0,2745749504.0,2780340224.0,2796290744.32,2815262720.0,66206752768,3,0.5135815569621867,0.2978652972010318,0.2037803337565435,0.48116756016762935,0.48564795389784976,0.4943540976052722,0.497668178402572,0.5039377600184314,0.5068287981049951,0.5102674761648869
tiflash,CPU(core),4.416666666666667,2.146923225308642,2.1083333333333334,2.4583333333333335,2.558333333333333,2.6666666666666665,2.825,3.0416666666666665,3.4583333333333335,4.08101666666668,32,3,1.65625,0.8050962094907408,0.790625,0.921875,0.9593749999999999,1.0,1.0593750000000002,1.140625,1.296875,1.530381250000005
tiflash,Memory(byte),18783178752.0,13776136496.82963,13647306752.0,14205965312.0,14349398016.000002,14542488780.8,14804665139.2,15265175961.599998,16246958653.44001,17866946875.39206,267057463296,3,0.8440061634756644,0.6190189778696653,0.6132301228461976,0.6383329701407874,0.6447779967158069,0.6534543660222575,0.6652350377247853,0.6859276998979257,0.7300432702200399,0.8028360632897394
tiflash,Storage(byte),577336631778.0,565327623219.5511,564687437622.5,569220174264.5,570198602871.6,571012189417.9,571916048319.0,572727655758.1,574149121927.7,575365797786.477,1585119989760,3,4.370672016056628,4.279758959863824,4.274912495738558,4.309227147030184,4.31663424766676,4.322793427172836,4.329636004948188,4.33578020181159,4.346541276143751,4.3557520049211575
